timestamp,ax,ay,az
25538,-1.2163,0.0263,9.9072
25566,-1.1779,0.0934,9.9503
25595,-1.2785,0.0622,9.912
25623,-1.2306,0.0192,9.9335
25651,-1.2115,0.0215,9.924
25679,-1.2354,0.0407,9.9527
25707,-1.1779,0.0455,9.9048
25735,-1.1971,0.0527,9.9216
25763,-1.2139,0.0072,9.912
25791,-1.2139,0.0407,9.9431
25819,-1.2091,0.0527,9.9479
25847,-1.2043,0.0646,9.9
25875,-1.2546,-0.0287,9.9886
25903,-1.1396,0.091,9.8713
25931,-1.2474,0.0263,9.8809
25960,-1.166,0.091,9.9551
25988,-1.1899,0.0168,9.9455
26016,-1.221,0.0215,9.9096
26044,-1.2019,0.0622,9.8689
26072,-1.257,0.0144,9.9168
26100,-1.1684,0.0551,9.924
26128,-1.2522,0.0551,9.9671
26156,-1.1971,0.0239,9.9168
26184,-1.1875,0.0503,9.9096
26212,-1.2402,0.0311,9.9575
26240,-1.1875,0.0024,9.8761
26268,-1.2043,0.0575,9.9455
26297,-1.2019,0.0599,9.9527
26325,-1.2378,0.0599,9.9455
26353,-1.2067,0.0575,9.9766
26381,-1.2163,0.0479,9.9311
26409,-1.1851,0.0646,9.8521
26437,-1.1827,0.0575,9.8904
26465,-1.1947,0.0862,9.8952
26493,-1.2019,0.0359,9.8761
26521,-1.1899,0.0287,9.8881
26549,-1.1756,0.0096,9.8593
26577,-1.2378,0.0287,9.9311
26605,-1.2282,0.0599,9.9192
26633,-1.1516,0.012,9.9527
26662,-1.2737,0.012,10.0173
26690,-1.0319,0.091,9.833
26718,-1.142,-0.1532,9.979
26746,-1.2761,0.0646,9.8976
26774,-1.0678,-0.012,9.7444
26802,-1.3695,0.0168,9.9695
26830,-1.1253,0.0575,9.8258
26858,-1.3168,0.0072,10.0102
26886,-1.2163,0.0455,9.924
26914,-1.0894,-0.0215,9.9766
26942,-1.3001,0.067,9.8952
26971,-1.1396,-0.0287,9.8689
26999,-1.2354,0.0862,9.8569
27027,-1.1851,-0.0168,9.9335
27055,-1.2115,0.079,9.9623
27083,-1.1971,-0.0383,9.9144
27111,-1.1851,0.067,9.8904
27139,-1.1899,0.0048,9.9431
27167,-1.2234,0.012,9.9551
27195,-1.1564,0.0934,9.8928
27223,-1.1995,0.0144,9.9311
27251,-1.1899,0.0622,9.9072
27279,-1.1947,-0.0599,9.9288
27308,-1.2258,0.0838,9.9742
27336,-1.1732,-0.0215,9.9719
27364,-1.3647,0.1867,9.9264
27392,-1.3408,0.0192,9.7276
27420,-1.8387,-0.1341,10.0173
27448,-1.2929,-0.0814,9.9551
27476,-1.008,-0.1628,10.0533
27504,-1.1923,0.0814,9.979
27532,-1.2258,0.0311,9.9264
27560,-1.2091,0.0287,9.9599
27588,-1.1875,0.0096,9.9048
27616,-1.245,0.0599,9.9
27645,-1.1995,-0.0455,9.9048
27673,-1.5131,-0.0144,10.137
27701,-1.9489,-0.7733,9.4044
27729,-0.7853,-1.3958,9.7731
27757,-0.8715,-1.0223,10.1514
27785,-0.3663,1.9225,9.3278
27813,-0.8571,0.9313,9.7348
27841,-0.1891,-0.9553,10.1993
27869,-0.0718,-4.6064,10.5153
27897,-2.6336,0.7446,11.0014
27926,-2.2649,-2.0542,12.1673
27954,0.0766,0.5938,9.5313
27982,-4.7094,5.7365,7.0701
28010,2.6983,4.1946,6.8785
28038,1.5227,-3.2298,8.7556
28066,-3.5865,-1.8244,10.0772
28094,-3.1101,-2.0758,9.7899
28122,-2.2649,-0.7733,11.7412
28150,-0.5291,-3.3208,11.0516
28178,-1.968,-1.2163,12.6605
28207,-0.6488,-3.486,13.1011
28235,1.3719,-2.8659,13.5895
28263,1.8723,-4.3551,13.3932
28291,2.2146,-2.0327,13.1466
28319,1.075,-0.4405,12.6725
28347,1.7813,-1.0558,10.9966
28375,0.6153,0.9625,7.7141
28403,-0.1317,2.9736,6.5027
28431,-0.1963,2.8922,5.7964
28459,-0.2059,3.5554,4.3886
28487,-1.7478,6.0908,4.6424
28515,-2.1859,5.1571,5.4588
28543,-0.4046,5.0039,6.6128
28572,-0.6153,6.1004,7.8434
28600,-4.9775,4.4676,12.5097
28628,-2.0039,5.6192,8.8969
28656,0.261,6.7062,6.7086
28684,2.7749,7.1156,4.786
28712,0.7925,5.5091,6.177
28740,-7.3981,2.5522,13.4363
28768,-0.8811,7.0509,11.4012
28796,-2.332,5.9664,6.9528
28824,-3.5291,15.0021,8.4946
28852,-1.9561,14.133,12.5911
28880,-2.5809,12.785,10.9798
28908,-1.7119,13.3333,10.7021
28937,-5.1044,7.7021,9.9695
28965,-4.8363,3.1867,9.1219
28993,-6.8618,1.075,9.56
29021,-7.9775,0.3328,8.442
29049,-6.359,-0.6177,6.2153
29077,-5.8083,-2.4373,7.422
29105,-0.3376,-1.1947,2.6432
29133,3.6392,-0.1006,-0.261
29161,4.3958,-1.2474,2.162
29189,5.2218,-1.3719,2.0039
29217,5.8754,-0.1867,1.0726
29246,3.9049,0.1676,0.7326
29274,1.9034,1.312,1.7549
29302,0.8547,4.0965,2.5953
29330,-3.9456,6.608,7.0988
29358,-6.1842,8.3151,8.2935
29386,-6.4308,12.967,8.0421
29414,-6.7229,14.5639,6.8235
29442,-10.2041,12.5624,9.3829
29470,-8.5258,13.5823,9.7564
29498,-7.6998,13.4387,8.3629
29526,-9.8019,12.0907,9.5146
29554,-9.1626,10.9319,8.983
29582,-8.7532,10.4603,9.1746
29611,-7.8721,10.1059,10.0054
29639,-8.8753,10.3837,10.5105
29667,-10.6686,12.2104,12.888
29695,-12.2439,9.8713,9.56
29723,-14.6573,8.521,8.6838
29751,-11.5281,5.1571,8.1379
29779,-7.9583,1.0127,6.2297
29807,-4.8459,0.3496,1.1564
29835,-1.3838,-0.2322,-0.0814
29863,0.5842,-1.7837,1.1157
29892,5.0829,-0.1987,-4.1659
29920,8.2624,-0.5986,-3.2322
29948,9.651,-1.3455,1.9489
29976,8.9232,-0.0287,2.1979
30004,8.2911,0.3855,0.7733
30032,7.2018,1.7478,2.0279
30060,5.1451,2.7605,1.5347
30088,2.15,4.7956,1.7741
30116,-2.7845,7.3741,6.0645
30144,-3.6751,9.6462,5.7126
30172,-8.3797,11.7747,5.2696
30200,-10.6015,12.3469,6.3183
30228,-12.9335,14.0133,6.6583
30257,-13.9319,14.1282,6.9264
30285,-14.3844,13.556,7.7716
30313,-14.9662,12.8162,4.9584
30341,-13.6134,11.892,5.2936
30369,-11.4108,9.5529,7.8362
30397,-10.1203,9.5792,10.2185
30425,-10.7452,11.169,9.0094
30453,-12.1027,11.4419,7.6399
30481,-13.9007,9.165,8.4755
30509,-14.3125,7.2449,7.8075
30537,-10.2879,7.5178,6.948
30566,-7.2137,5.3223,8.3366
30594,-4.6855,3.699,5.9999
30622,-1.5275,3.0813,1.1492
30650,0.2083,-0.68,2.7821
30678,3.723,-1.3599,-0.7207
30706,7.003,-0.2083,-5.5138
30734,6.4141,1.6137,0.5195
30762,7.5298,3.8666,2.0231
30790,8.2887,5.3199,1.0774
30818,6.2537,3.1771,3.7038
30846,6.426,1.312,3.7062
30874,7.0413,3.1484,1.2737
30902,5.0182,3.0023,0.0646
30930,2.9137,3.3016,0.7901
30958,0.8116,4.4843,0.3591
30987,-1.6496,5.2194,1.3551
31015,-4.877,7.8003,1.6783
31043,-9.584,10.2232,0.1796
31071,-13.0412,11.5377,4.0821
31099,-10.9559,13.9175,2.5115
31127,-13.0221,15.263,2.4948
31155,-15.6389,14.0204,5.3439
31183,-16.678,12.6677,5.1523
31211,-14.291,13.0125,4.9799
31239,-11.1043,11.1378,9.4427
31267,-9.5122,9.9503,10.2256
31296,-10.3765,11.1666,7.9392
31324,-12.2679,11.169,5.9903
31352,-15.2798,9.4164,4.8602
31380,-15.1433,6.8115,5.0973
31408,-12.3062,6.3135,4.6974
31436,-8.734,6.9552,5.0278
31464,-4.5466,6.6391,5.8682
31492,-2.2817,5.7245,2.3535
31520,-0.723,3.8307,0.9266
31548,-0.3472,0.5602,1.7621
31576,2.217,-0.8906,-3.9576
31604,6.0573,-0.5698,-3.158
31633,8.406,1.8651,-0.5028
31661,10.5584,5.1547,2.1308
31689,11.3605,7.3813,2.0782
31717,7.0461,5.3965,2.3224
31745,3.802,3.9504,1.075
31773,3.7709,3.8355,-0.9098
31801,2.9616,5.9089,-1.2689
31829,1.5155,5.7245,-0.4166
31857,1.5658,6.213,-0.7494
31885,0.6249,8.0373,0.0287
31913,-0.7829,6.4979,1.1157
31941,-2.8347,6.1986,2.0949
31969,-6.4236,8.5353,3.6248
31997,-6.8953,9.8426,3.4884
32026,-7.9128,10.1131,2.9736
32054,-11.1211,10.6853,4.2593
32082,-12.8425,11.4156,4.3407
32110,-16.271,12.73,3.7254
32138,-19.2374,12.0141,2.2984
32166,-17.8416,11.5089,2.2434
32194,-13.7906,10.738,6.0501
32222,-13.3237,9.6678,7.3406
32250,-14.5184,10.0389,6.5673
32278,-14.1689,9.9958,5.1451
32307,-13.6948,9.8234,3.8068
32335,-12.2799,9.2943,3.3926
32363,-10.2807,8.1331,4.1324
32391,-8.9184,6.9168,3.8068
32419,-5.0709,5.3917,3.4022
32447,-2.0901,3.565,1.6233
32475,-2.4565,2.4421,0.9481
32503,-0.0168,-0.9361,-2.2386
32531,4.3574,-0.3256,-5.3103
32559,7.173,1.7142,-6.28
32587,9.9048,3.4668,0.2035
32615,9.5289,3.7182,5.5593
32643,4.8961,4.47,5.6312
32672,4.2401,4.4628,3.8068
32700,3.1963,2.4038,7.6279
32728,1.8842,4.7836,5.0135
32756,1.7597,2.7126,2.1141
32784,4.0989,3.2346,6.1842
32812,2.727,2.6504,2.7797
32840,-0.3639,3.0311,0.5387
32868,-0.7183,2.7557,4.4173
32896,-0.0383,2.8778,8.5449
32924,-1.4174,3.1149,4.6064
32952,-7.5968,3.3686,2.5833
32980,-11.9638,5.454,5.4612
33008,-8.5066,7.9224,0.3735
33036,-18.2151,12.4068,-1.2713
33065,-16.6373,11.6262,1.5203
33093,-18.5239,12.5863,1.494
33121,-18.4473,11.6789,3.8427
33149,-18.3348,8.5808,9.493
33177,-19.1321,3.4931,12.6198
33205,-18.2941,2.6863,14.619
33233,-14.8656,1.1684,13.963
33261,-12.0979,0.7159,12.6198
33289,-9.9311,-0.0742,9.8761
33317,-7.2856,-0.2035,9.9431
33346,-7.6184,-0.5004,9.5864
33374,-5.1188,0.2945,8.4252
33402,-2.0207,-0.5602,7.616
33430,-2.5762,-1.5131,4.5442
33458,-2.0375,-1.4269,0.1125
33486,0.747,-1.142,0.1053
33514,6.0765,2.976,-10.6614
33542,8.8394,8.7077,-10.4794
33570,10.9583,7.1778,-1.2809
33598,6.2489,2.4948,7.932
33626,2.9185,0.3879,7.5968
33654,3.7158,0.656,5.2577
33682,3.2082,4.2018,-0.8428
33711,2.0542,3.3974,-0.0886
33739,-0.1221,2.6863,0.7087
33767,-0.6273,3.9935,0.6225
33795,-0.8188,3.735,1.3264
33823,-3.7038,4.2042,4.8866
33851,-5.7221,7.2377,4.9392
33879,-6.5625,7.2233,4.4676
33907,-5.6096,8.6072,8.1834
33935,-6.8187,8.746,11.9112
33963,-10.2208,10.1562,9.8402
33991,-10.3118,10.6638,10.3453
34020,-15.2175,7.4651,16.168
34048,-17.662,6.8235,14.7531
34076,-15.9574,7.6567,14.6094
34104,-14.3101,8.6886,12.8138
34132,-12.0644,9.5672,14.2862
34160,-12.9957,10.0173,13.3213
34188,-12.3469,10.1227,9.3494
34216,-10.647,9.2919,8.5186
34244,-12.7587,9.7085,5.3439
34272,-11.995,7.1994,4.8554
34300,-9.2392,3.5937,5.0374
34329,-5.4588,5.4253,-0.3998
34357,-3.2609,3.3447,1.8986
34385,-0.1915,-0.0766,4.276
34413,2.4876,-0.0838,-2.375
34441,7.8961,-0.0766,-6.608
34469,11.4108,0.8045,-7.9416
34497,12.5049,3.9073,0.091
34525,5.4971,3.213,2.2769
34553,9.3901,0.9697,6.1244
34581,6.1507,-0.3184,4.6471
34609,3.6583,3.1963,-6.9863
34637,1.3312,2.1787,-4.5801
34666,3.9241,0.5459,-0.8475
34694,4.0366,3.9983,-4.6783
34722,-1.9297,5.3079,-7.3574
34750,-1.5107,1.6807,-4.3814
34778,-2.2314,3.5458,-6.031
34806,-7.4101,8.6287,-12.3014
34834,-4.9967,6.5864,-7.8051
34862,-3.1915,7.1084,-6.9719
34890,-7.0629,16.508,-19.1129
34918,-9.7348,16.0555,-19.2135
34947,-7.9487,14.0157,-17.6117
34975,-7.4244,16.0292,-20.3483
35003,-4.1324,11.8321,-21.1935
35031,-1.652,10.4267,-22.563
35059,-5.4755,10.7212,-19.6396
35087,-9.3925,11.2384,-18.4114
35115,-8.8466,11.7795,-17.8057
35143,-5.1404,7.4412,-11.0923
35172,-5.1499,8.1547,-9.4284
35200,-3.1819,4.5107,-8.2241
