timestamp,ax,ay,az
42561,-18.1696,11.9279,-14.2766
42589,-15.0356,14.1138,-14.2096
42617,-10.7619,13.7786,-13.204
42645,-9.9862,14.1689,-9.9575
42674,-11.8034,14.4562,-7.015
42702,-10.9319,11.0373,-3.9696
42730,-10.9607,8.916,-3.3303
42758,-13.5033,9.481,-7.9871
42786,-13.1801,10.3837,-10.8625
42814,-11.1378,9.0261,-8.9591
42842,-11.3868,9.4427,-9.924
42870,-9.663,9.9024,-9.9359
42898,-10.1897,3.9265,-7.2018
42927,-7.6998,2.411,-7.2688
42955,-0.3184,0.6584,-4.0989
42983,1.6376,0.2849,-1.6927
43011,0.0335,0.0,-0.5411
43039,1.1277,-0.9816,-0.2921
43067,5.8682,-0.2753,-1.1899
43095,7.5393,3.8211,-2.7821
43123,11.0181,8.418,-1.4006
43151,12.2368,8.0254,3.3974
43179,7.5489,5.691,7.0102
43207,5.4372,4.7166,6.5841
43235,5.5234,4.2353,4.9368
43263,5.2912,4.2617,1.4964
43292,3.2944,3.9073,-0.3065
43320,2.3439,2.9281,0.644
43348,0.2634,2.9113,0.5459
43376,-3.7996,2.8491,-1.3048
43404,-4.9991,2.8994,-0.6536
43432,-3.9385,3.96,1.4341
43460,-6.043,5.5785,-0.8332
43488,-8.4396,7.4388,-2.4804
43516,-11.1474,8.0086,-4.6759
43544,-9.4547,9.8067,-6.1196
43572,-10.5393,11.9064,-7.4819
43601,-8.6383,9.2775,-5.2816
43629,-8.9423,8.2624,-7.5753
43657,-17.0276,16.9893,-13.4746
43685,-13.6781,18.0188,-10.2137
43713,-5.9687,13.1849,-2.1979
43741,-10.635,14.5831,-2.49
43769,-13.3908,13.9486,-5.8634
43797,-13.6613,13.2543,-7.1228
43826,-11.0253,10.8816,-7.4939
43854,-11.8274,9.165,-8.8825
43882,-14.3676,8.7795,-9.5146
43910,-11.6646,6.3901,-7.7093
43938,-7.5705,4.6615,-5.0518
43966,-6.4955,3.735,-3.3974
43994,-7.616,1.6185,-2.1045
44022,-4.7884,-0.0144,-1.075
44050,-3.9385,-0.1772,-1.561
44079,-3.7421,-1.2306,-2.2841
44107,2.4277,-1.8555,-6.8738
44135,11.5329,2.6743,-7.7405
44163,16.453,6.9959,-2.5522
44191,15.0308,6.2034,3.1651
44219,3.6895,3.8307,13.441
44247,5.1691,1.7023,5.5569
44275,6.5457,2.5642,0.486
44303,4.8243,2.5786,-1.403
44331,1.652,1.4653,-3.2753
44359,-1.5874,2.3679,-4.5825
44387,-1.6017,6.438,-4.9919
44416,0.0287,4.7525,-2.0327
44444,-0.6656,5.2385,-6.6367
44472,-4.3766,5.8945,-9.6391
44500,-7.0054,8.0421,-10.7787
44528,-7.2257,10.4004,-10.0604
