timestamp,ax,ay,az
139440,11.5736,13.3237,-15.1553
139468,14.9781,13.5584,-17.5615
139496,14.4658,12.3756,-16.4769
139524,9.4403,9.8043,-11.4227
139553,4.9392,8.6024,-7.0461
139581,2.636,7.7859,-4.8626
139609,-0.5842,8.5042,-4.6017
139637,-3.0191,8.734,-4.051
139665,-2.8491,7.4436,-2.4038
139693,-2.387,6.6248,-2.2266
139721,-4.0941,7.2425,-3.1963
139749,-4.1084,5.4037,-1.6879
139777,-4.9895,3.4764,0.4669
139805,-10.635,4.1539,-1.403
139834,-11.6215,5.0135,-0.9266
139862,-12.5121,4.8985,0.9481
139890,-20.14,8.2384,-0.7853
139918,-21.7801,8.9447,-0.2203
139946,-16.5703,7.4555,3.2298
139974,-13.6661,5.9759,2.6384
140002,-12.6486,5.4899,1.1923
140030,-9.7564,5.5115,0.7422
140058,-6.3638,5.272,0.5746
140086,-5.6647,6.0549,0.2131
140114,-4.7908,6.0908,-0.0766
140143,-2.9209,6.6008,-1.1277
140171,-1.7119,6.4356,-1.573
140199,-3.0765,6.4715,-2.8419
140227,-2.1883,8.9854,-6.9887
140255,1.9201,9.8593,-9.4116
140283,0.0718,8.2145,-10.1801
140311,2.2218,9.4188,-13.5727
140339,6.0669,11.7795,-17.911
140367,7.7309,13.1561,-19.7857
140395,7.6591,11.4898,-17.8847
140423,5.0111,9.2344,-12.8904
140452,4.8602,7.8769,-9.3757
140480,4.1659,6.6415,-6.9552
140508,0.8284,6.1196,-5.9089
140536,-1.7645,6.1459,-4.9153
140564,-2.7557,5.7868,-4.1492
140592,-5.7245,4.0989,-2.988
140620,-8.9711,4.1324,-1.7526
140648,-10.4842,4.2641,-2.7988
140676,-8.7388,2.9928,-0.6249
140704,-11.3533,2.7773,-0.4238
140733,-16.6349,4.4053,-3.2561
140761,-18.974,6.3135,-4.0701
140789,-19.4337,6.8522,-3.7565
140817,-20.2526,8.4683,-4.1683
140845,-17.1545,8.2791,-4.3742
140873,-14.7004,6.5769,-4.2617
140901,-10.5489,6.2584,-2.2721
140929,-7.5992,5.6767,-2.7318
140957,-4.6519,5.2122,-1.7358
140986,-2.7198,5.7581,-1.324
141014,-1.5634,5.679,-2.4134
141042,-1.3527,5.9017,-3.4261
141070,-0.3711,6.7301,-4.7501
141098,1.8148,7.8123,-6.0478
141126,0.7901,9.1411,-6.6822
141154,-0.1293,7.4627,-6.7062
141182,4.2425,8.5329,-9.2512
141210,3.9313,9.6199,-10.9846
141238,6.0214,9.2895,-13.1011
141266,9.6462,11.8824,-17.4202
141295,9.019,11.2432,-17.6979
141323,6.1483,8.7317,-13.4626
141351,4.312,8.4467,-10.4052
141379,2.2338,7.7931,-7.3167
141407,-0.3519,7.0629,-4.6448
