timestamp,ax,ay,az
91617,-1.7717,-5.0877,0.419
91646,-3.6129,-5.0781,-5.0853
91674,-6.0023,-4.1994,-6.6846
91702,-7.3717,-2.9856,-8.8801
91730,-10.4291,-2.964,-12.3948
91758,-16.0603,-4.1803,-15.1888
91786,-19.4792,-1.6544,-19.1776
91814,-18.3755,-1.0654,-20.9948
91843,-17.6836,0.419,-20.7793
91871,-17.3484,2.2482,-22.5606
91899,-16.2638,1.7957,-24.5669
91927,-12.5289,1.6257,-22.6061
91955,-9.7468,0.668,-20.7745
91983,-9.5816,-0.1245,-20.2597
92011,-7.1467,-0.5578,-16.2806
92039,-5.1619,1.4413,-12.3637
92068,-2.4086,3.3662,-11.6215
92096,-0.146,2.0997,-10.6159
92124,4.9201,-0.7446,-6.5888
92152,7.4172,2.1715,-6.4548
92180,9.1746,2.818,-7.288
92208,7.9535,0.5698,-6.4907
92236,6.869,-1.6664,-4.027
92264,3.9648,-3.122,-2.5546
92292,1.0774,-3.7302,-0.2753
92320,-2.0686,-5.1787,0.4142
92348,-6.4284,-4.4748,-3.4836
92377,-5.1906,-5.2936,-7.7835
92405,-7.0629,-6.1148,-8.8849
92433,-12.8976,-2.7605,-13.0101
92461,-14.0731,-2.6049,-16.7977
92489,-16.5463,-4.0917,-17.1688
92517,-19.3092,-2.5714,-19.6947
92545,-20.4824,-1.0511,-22.4983
92574,-18.907,-1.8699,-23.3818
92602,-18.7921,-0.0048,-24.0162
92630,-14.9949,-0.5986,-24.0114
92658,-9.5409,-0.2538,-21.0331
92686,-7.6327,-1.0702,-17.6501
92714,-8.5976,0.4381,-17.8919
92742,-8.1307,2.7749,-17.6788
92771,-6.6631,0.8116,-15.615
92799,-3.371,-0.2346,-12.9359
92827,0.2873,0.6512,-11.6574
92855,4.2353,1.4126,-10.0676
92883,7.0653,1.8579,-8.4946
92911,7.9655,0.8882,-6.4212
92939,6.948,-0.9218,-3.6224
92967,5.1092,-2.6504,-0.9385
92995,2.8467,-4.3191,1.9345
93023,0.4669,-5.8682,2.8539
93051,-2.5666,-6.778,1.3767
93080,-5.7533,-6.857,-2.5809
93108,-8.1163,-6.7349,-8.1618
93136,-10.3837,-6.857,-10.8146
93164,-15.3612,-2.0494,-16.2758
93192,-16.022,-3.1627,-14.9278
93220,-19.8407,-1.2857,-17.6357
93248,-20.0969,0.5459,-19.7593
93277,-20.7841,0.8164,-18.3228
93305,-22.1176,2.5594,-21.3826
93333,-21.7729,0.7302,-21.1839
93361,-18.16,-0.1987,-19.1752
93389,-12.1769,-1.6975,-17.6237
93417,-6.7995,-1.1349,-19.1895
93445,-3.948,3.9744,-22.8862
93473,-0.9313,2.7677,-20.413
93502,-0.747,4.1204,-15.9478
93530,-0.486,4.1563,-12.1649
93558,-0.0934,2.4541,-7.6854
93586,3.2082,0.2514,-4.7166
93614,3.0023,1.5036,-2.3224
